timestamp,topic,lag
2026-05-05 13:16:22.197000+00:00,orders.placed,489093.0
2026-05-05 13:16:32.197000+00:00,orders.placed,488296.0
2026-05-05 13:16:42.197000+00:00,orders.placed,487527.0
2026-05-05 13:16:52.197000+00:00,orders.placed,486714.0
2026-05-05 13:17:02.197000+00:00,orders.placed,485955.0
2026-05-05 13:17:12.197000+00:00,orders.placed,485140.0
2026-05-05 13:17:22.197000+00:00,orders.placed,484358.0
2026-05-05 13:17:32.197000+00:00,orders.placed,483554.0
2026-05-05 13:17:42.197000+00:00,orders.placed,482782.0
2026-05-05 13:17:52.197000+00:00,orders.placed,481976.0
2026-05-05 13:18:02.197000+00:00,orders.placed,481159.0
2026-05-05 13:18:12.197000+00:00,orders.placed,480345.0
2026-05-05 13:18:22.197000+00:00,orders.placed,479520.0
2026-05-05 13:18:32.197000+00:00,orders.placed,478699.0
2026-05-05 13:18:42.197000+00:00,orders.placed,477856.0
2026-05-05 13:18:52.197000+00:00,orders.placed,477030.0
2026-05-05 13:19:02.197000+00:00,orders.placed,476190.0
2026-05-05 13:19:12.197000+00:00,orders.placed,475364.0
2026-05-05 13:19:22.197000+00:00,orders.placed,474522.0
2026-05-05 13:19:32.197000+00:00,orders.placed,473699.0
2026-05-05 13:19:42.197000+00:00,orders.placed,472883.0
2026-05-05 13:19:52.197000+00:00,orders.placed,472062.0
2026-05-05 13:20:02.197000+00:00,orders.placed,471223.0
2026-05-05 13:20:12.197000+00:00,orders.placed,470381.0
2026-05-05 13:20:22.197000+00:00,orders.placed,469559.0
2026-05-05 13:20:32.197000+00:00,orders.placed,468737.0
2026-05-05 13:20:42.197000+00:00,orders.placed,467908.0
2026-05-05 13:20:52.197000+00:00,orders.placed,467066.0
2026-05-05 13:21:02.197000+00:00,orders.placed,466239.0
2026-05-05 13:21:12.197000+00:00,orders.placed,465410.0
2026-05-05 13:21:22.197000+00:00,orders.placed,464585.0
2026-05-05 13:21:32.197000+00:00,orders.placed,463783.0
2026-05-05 13:21:42.197000+00:00,orders.placed,462988.0
2026-05-05 13:21:52.197000+00:00,orders.placed,462182.0
2026-05-05 13:22:02.197000+00:00,orders.placed,461383.0
2026-05-05 13:22:12.197000+00:00,orders.placed,460570.0
2026-05-05 13:22:22.197000+00:00,orders.placed,459754.0
2026-05-05 13:22:32.197000+00:00,orders.placed,458954.0
2026-05-05 13:22:42.197000+00:00,orders.placed,458178.0
2026-05-05 13:22:52.197000+00:00,orders.placed,457508.0
2026-05-05 13:23:02.197000+00:00,orders.placed,456694.0
2026-05-05 13:23:12.197000+00:00,orders.placed,455881.0
2026-05-05 13:23:22.197000+00:00,orders.placed,455061.0
2026-05-05 13:23:32.197000+00:00,orders.placed,454275.0
2026-05-05 13:23:42.197000+00:00,orders.placed,453450.0
2026-05-05 13:23:52.197000+00:00,orders.placed,452625.0
2026-05-05 13:24:02.197000+00:00,orders.placed,451810.0
2026-05-05 13:24:12.197000+00:00,orders.placed,450993.0
2026-05-05 13:24:22.197000+00:00,orders.placed,450179.0
2026-05-05 13:24:32.197000+00:00,orders.placed,449352.0
2026-05-05 13:24:42.197000+00:00,orders.placed,448543.0
2026-05-05 13:24:52.197000+00:00,orders.placed,447720.0
2026-05-05 13:25:02.197000+00:00,orders.placed,446891.0
2026-05-05 13:25:12.197000+00:00,orders.placed,446051.0
2026-05-05 13:25:22.197000+00:00,orders.placed,445233.0
2026-05-05 13:25:32.197000+00:00,orders.placed,444417.0
2026-05-05 13:25:42.197000+00:00,orders.placed,443588.0
2026-05-05 13:25:52.197000+00:00,orders.placed,442784.0
